../../results/04_alignQC/sa/SRR15734410	../../results/04_alignQC/sa/SRR15734411	../../results/04_alignQC/sa/SRR15734412	../../results/04_alignQC/sa/SRR15734413	../../results/04_alignQC/sa/SRR15734414	../../results/04_alignQC/sa/SRR15734415	../../results/04_alignQC/sa/SRR15734416	../../results/04_alignQC/sa/SRR15734417	../../results/04_alignQC/sa/SRR15734418	../../results/04_alignQC/sa/SRR15734419	../../results/04_alignQC/sa/SRR15734420	../../results/04_alignQC/sa/SRR15734421	../../results/04_alignQC/sa/SRR15734422	../../results/04_alignQC/sa/SRR15734423	../../results/04_alignQC/sa/SRR15734424	../../results/04_alignQC/sa/SRR15734425	../../results/04_alignQC/sa/SRR15734426	../../results/04_alignQC/sa/SRR15734427	../../results/04_alignQC/sa/SRR15734428	../../results/04_alignQC/sa/SRR15734429	../../results/04_alignQC/sa/SRR15734430	../../results/04_alignQC/sa/SRR15734431	../../results/04_alignQC/sa/SRR15734432	../../results/04_alignQC/sa/SRR15734433	../../results/04_alignQC/sa/SRR15734434	../../results/04_alignQC/sa/SRR15734435	../../results/04_alignQC/sa/SRR15734436	../../results/04_alignQC/sa/SRR15734437	../../results/04_alignQC/sa/SRR15734438	../../results/04_alignQC/sa/SRR15734439	../../results/04_alignQC/sa/SRR15734440	../../results/04_alignQC/sa/SRR15734441	../../results/04_alignQC/sa/SRR15734442	../../results/04_alignQC/sa/SRR15734443	../../results/04_alignQC/sa/SRR15734444	../../results/04_alignQC/sa/SRR15734445	../../results/04_alignQC/sa/SRR17407396	../../results/04_alignQC/sa/SRR17408317	../../results/04_alignQC/sa/SRR17408318	../../results/04_alignQC/sa/SRR17619844	../../results/04_alignQC/sa/SRR17619845
reads paired:	256836740	264541924	288327808	323381660	306502792	288975122	299997832	289123550	282009872	291176956	329322236	278514008	359724060	350160966	344118928	237805026	245405274	222205114	224881318	285342968	204724764	196912766	221365488	218041390	215112880	248670568	52818154	290000452	275524880		224919862	219909686	294363692	242071554	238937058	221244074	730385676	243463730	243462938	880556660	734195394
reads duplicated:	33338251	31627666	42879061	51548245	46410878	39233876	40853566	38233306	33534501	40905213	46292412	39509830	28812300	56893407	50876809	33851531	22858377	17938199	24638701	34476711	16655863	15674811	18750052	17322851	17415399	21075063	2873941	34784375	29962328		23873245	25720283	19348590	28838634	26645631	25506476	105874035	13908648	13919114	98377433	136734109
reads MQ0:	15887788	16419911	20694318	23221996	20080406	17029108	19224597	16418825	16467765	17622979	19342214	17876149	22521293	19746831	21140206	16110977	14818848	12301899	22086467	16559140	12304434	12298532	14032051	12337436	13165126	16263786	3138284	18683397	16688940		13593687	13551537	17834906	14214301	13262278	14374294	60425456	20143322	20142471	50912778	51559910
reads QC failed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
non-primary alignments:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
supplementary alignments:	6020236	6211849	9688927	11357775	8766662	5794556	7977883	5173786	5525618	6453851	6776302	7271444	8313888	6088970	7797816	7254403	5709657	3645752	15879025	5596848	4436156	4876342	5945517	3980877	5253689	7281723	1099375	7413326	6330155		4727291	4964220	6316644	4778368	3781004	5800475	29988705	9996193	9997121	22638443	27187376
total length:	38170838215	39346245039	42733577414	47967895905	45655832467	43063566791	44624293277	43105283007	41966585133	43343952652	49079449988	41382395366	53448890700	52233622668	51223607009	35276669427	36558309899	33175891522	33095502876	42523483369	30529277115	29314564533	32959552231	32521318730	32051098249	37015457231	7850804298	43002719667	40983839298		33447996844	32677401121	43781194976	36024382391	35607676479	32811030659	108895010576	36298477783	36298577039	130456907440	109332587779
total first fragment length:	19123053210	19712169332	21405280130	24022888810	22848039130	21560559948	22347691297	21579605330	21020593328	21711035116	24564866074	20730376735	26792299938	26141047130	25655433705	17673723699	18300962351	16602281368	16610643378	21284194277	15282415642	14690531041	16496611050	16277163631	16045764548	18529141821	3933502409	21563702974	20522353408		16755628334	16373485129	21922110506	18043625135	17831699296	16455923511	54554397236	18184885020	18184869703	65104224455	54728565643
total last fragment length:	19047785005	19634075707	21328297284	23945007095	22807793337	21503006843	22276601980	21525677677	20945991805	21632917536	24514583914	20652018631	26656590762	26092575538	25568173304	17602945728	18257347548	16573610154	16484859498	21239289092	15246861473	14624033492	16462941181	16244155099	16005333701	18486315410	3917301889	21439016693	20461485890		16692368510	16303915992	21859084470	17980757256	17775977183	16355107148	54340613340	18113592763	18113707336	65352682985	54604022136
bases mapped:	37996213884	39229002970	42600204799	47806318053	45524702826	42927713609	44081060186	42975844838	41152217618	43205196985	48934268744	41235482611	53261096506	52062424474	51056644022	35165116494	36450213652	33082828110	32988085930	42366990270	30437239487	29223227121	32853943922	31991572662	31366978251	36896343945	7823332159	42866645290	39341858812		33332974527	32575210879	43199982205	35920381455	35501261290	32708082534	107356790471	35786136851	35785770047	130300851660	109142492125
bases mapped (cigar):	37459254653	38683692293	41843151672	46936385870	44803472251	42394832965	43400686976	42478432401	40621766621	42637971385	48337094605	40619485624	52529638742	51460412468	50354934146	34578414906	35981730240	32740372878	31964680410	41822555902	30048574278	28818313589	32364398442	31614198513	30921590594	36330795010	7723337591	42221608889	38731235225		32887747344	32127364544	42619124931	35478906170	35117158049	32207967201	102776954098	34259066819	34259221563	120813671936	101749800003
bases trimmed:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
bases duplicated:	4909542210	4663954686	6226227751	7469923047	6800650944	5806159365	6009500336	5662240840	4954854503	6023800833	6838817580	5787851328	4227664774	8439133681	7515642453	4936205861	3357321590	2656841230	3435221800	5097990649	2463378373	2297508053	2742956541	2558401682	2556392164	3069390291	423043456	5078820061	4406532257		3520994102	3788131635	2841124495	4259835919	3952168951	3742563148	15347991184	1998471737	1999949459	14310349480	19737607761
mismatches:	417138166	438084423	568416610	658789131	563332327	448141387	524980642	425284874	423157602	461484027	498446145	480212657	593000046	514304593	561279978	437181487	396306792	310677905	679353319	461329519	329735296	332760234	388383206	318872986	352060846	449554928	83685988	493658005	443305377		358189488	357322649	469371164	364410335	336126677	380930230	2807273522	935882326	935713871	1175717674	1371778722
error rate:	1.113578e-02	1.132478e-02	1.358446e-02	1.403579e-02	1.257341e-02	1.057066e-02	1.209614e-02	1.001178e-02	1.041702e-02	1.082331e-02	1.031188e-02	1.182222e-02	1.128887e-02	9.994180e-03	1.114647e-02	1.264319e-02	1.101411e-02	9.489139e-03	2.125325e-02	1.103064e-02	1.097341e-02	1.154683e-02	1.200032e-02	1.008639e-02	1.138560e-02	1.237394e-02	1.083547e-02	1.169207e-02	1.144568e-02		1.089128e-02	1.112207e-02	1.101316e-02	1.027118e-02	9.571580e-03	1.182721e-02	2.731423e-02	2.731780e-02	2.731276e-02	9.731661e-03	1.348188e-02
average length:	148	148	148	148	148	149	148	149	148	148	149	148	148	149	148	148	148	149	147	149	149	148	148	149	148	148	148	148	148		148	148	148	148	149	148	149	149	149	148	148
average first fragment length:	149	149	148	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	148	149	149	149	149	149	149	149	149	149	149		149	149	149	149	149	149	149	149	149	148	149
average last fragment length:	148	148	148	148	149	149	149	149	149	149	149	148	148	149	149	148	149	149	147	149	149	149	149	149	149	149	148	148	149		148	148	149	149	149	148	149	149	149	148	149
maximum length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151		151	151	151	151	151	151	151	151	151	151	151
maximum first fragment length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151		151	151	151	151	151	151	151	151	151	151	151
maximum last fragment length:	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151		151	151	151	151	151	151	151	151	151	151	151
average quality:	36.2	36.2	36.2	36.3	36.3	36.3	36.3	36.3	36.2	36.2	36.3	36.3	36.1	36.3	36.3	36.3	36.2	36.3	36.1	36.3	36.3	36.2	36.3	36.3	36.3	36.3	36.0	36.2	36.3		36.2	36.2	36.2	36.3	36.3	36.2	36.3	36.3	36.3	35.7	36.3
insert size average:	343.4	344.7	342.2	338.6	313.5	356.4	347.2	348.1	358.9	349.6	349.6	348.8	377.1	357.1	358.7	350.5	353.4	361.1	329.8	342.2	352.5	348.8	348.1	356.9	354.1	348.9	357.7	350.8	349.7		355.9	348.4	379.5	350.2	356.3	353.7	284.5	284.5	284.5	197.7	183.3
insert size standard deviation:	82.8	83.5	85.4	89.8	85.1	82.6	83.9	80.2	86.4	81.6	79.6	82.1	86.9	80.8	84.6	85.2	81.6	81.9	94.1	80.3	80.9	82.7	87.3	82.9	84.0	82.5	84.3	84.3	86.2		84.6	82.6	90.1	81.8	85.0	83.6	113.2	113.2	113.2	76.6	62.7
inward oriented pairs:	115192605	118791836	125935445	141125446	136888506	130483958	132235056	131582405	125344480	131017425	148958518	123875230	159706513	159296570	154280340	104633260	110356797	101367320	89877005	129427419	92149382	88021007	98620102	97580432	94384209	109880764	23769020	129044790	118693302		101225247	98782097	130165264	109566120	109104606	98300386	306138859	102044829	102046301	344983018	296310067
outward oriented pairs:	898645	872955	1325573	1753889	1586348	733827	1021537	710456	800400	877700	889618	973112	936598	792233	1010328	996640	688925	452241	1858742	777529	500315	634975	901932	552006	655552	850190	158734	1057848	1004387		640478	695396	770193	691341	541181	743267	19950668	6652179	6650694	71345674	54152238
pairs with other orientation:	59086	65915	86555	93916	68289	68140	69539	65729	61824	68965	68994	68147	90093	74783	83458	57106	53773	49559	66758	66983	44753	47190	54790	48377	49252	59409	11696	65774	65545		53504	53310	74143	49642	50031	49301	150019	50109	49906	143807	58564
pairs on different chromosomes:	11467526	11920721	16098070	17854926	14025990	12499009	14593306	11539308	11843307	12910641	14001037	13595983	18123387	14056196	15824379	12625758	11036597	8748638	20019582	11631172	9182813	9272418	10564110	8894677	9996236	12924027	2327948	14108330	12294020		9946484	9889254	13936255	10181276	9218299	10979135	32659854	10889138	10886288	22833998	15704190
percentage of properly paired reads (%):	90.2	90.3	88.0	88.1	90.1	90.6	88.6	91.3	89.3	90.4	90.8	89.4	89.0	91.3	90.1	88.6	90.3	91.5	81.2	91.0	90.3	89.8	89.7	89.8	88.2	88.8	90.3	89.5	86.7		90.4	90.3	88.7	90.9	91.5	89.3	89.0	89.0	89.0	94.4	95.3
